   234.375    942.496 0 # matmult_knm
  3359.375    777.639 0 # matmult_knm
  6484.375    287.305 0 # matmult_knm
  3359.375    316.562 0 # matmult_knm
 37734.375    293.458 0 # matmult_knm
 72109.375    303.322 0 # matmult_knm
  6484.375    299.117 0 # matmult_knm
 72109.375    271.180 0 # matmult_knm
137734.375    273.264 0 # matmult_knm
  3359.375    789.958 0 # matmult_knm
 37734.375    691.508 0 # matmult_knm
 72109.375    241.518 0 # matmult_knm
 37734.375    358.082 0 # matmult_knm
103359.375    311.153 0 # matmult_knm
168984.375    315.667 0 # matmult_knm
 72109.375    312.570 0 # matmult_knm
